last_name,first_name,hire_date
Facello,Georgi,1986-06-26
Bamford,Parto,1986-08-28
Koblick,Chirstian,1986-12-01
Zschoche,Sanjiv,1986-02-04
Schusler,Kwee,1986-02-26
Gils,Kshitij,1986-03-27
Rosen,Zhongwei,1986-10-30
Eugenio,Xinglin,1986-09-08
Flasterstein,Sudharsan,1986-08-12
Hofting,Kendra,1986-03-14
Morton,Hilari,1986-07-15
Birch,Akemi,1986-12-02
Giveon,Lunjin,1986-10-02
Ullian,Xuejia,1986-08-22
Rissland,Chikara,1986-01-23
Peltason,Domenick,1986-03-14
Pintelas,Zissis,1986-02-11
Shimshoni,Perry,1986-09-18
Encarnacion,Kazuhito,1986-08-21
Perry,Xiadong,1986-11-05
Perng,Zhenbing,1986-11-16
Munro,Jaques,1986-01-27
Mitsuhashi,Khedija,1986-01-29
Stassinopoulos,Dharmaraja,1986-12-06
Jenevein,Kasturi,1986-01-02
Litvinov,Valery,1986-10-07
Wendorf,Shaw,1986-02-25
Sidhu,Duro,1986-03-01
Kropatsch,Shigehito,1986-03-28
Fairtlough,Arve,1986-06-23
Nastansky,Zdislav,1986-04-10
Kavraki,Idoia,1986-11-22
Ritcey,Nevio,1986-12-04
Roison,Yongmin,1986-05-12
Nourani,Tze,1986-06-08
Chinen,Kellie,1986-06-19
Gire,Mototsugu,1986-11-19
Riexinger,Aiman,1986-08-05
Vesel,Susanna,1986-06-25
Siochi,Nishit,1986-12-17
Eastman,Sham,1986-05-23
Benzmuller,Hercules,1986-06-04
Seghrouchni,Dipayan,1986-09-29
Oaver,Narain,1986-05-28
Baer,Faiza,1986-07-22
Deyuan,Rasiah,1986-08-28
Apsitis,Christfried,1986-01-16
Birge,Arie,1986-12-10
Shigei,Remko,1986-01-20
Sidou,Seshu,1986-10-23
Toyoshima,Qunsheng,1986-05-17
Luft,Feiyu,1986-01-16
Rahier,Sibyl,1986-01-11
Fabrizio,Masoud,1986-05-06
Improta,Martien,1986-03-09
Tagansky,Marsha,1986-12-19
Servieres,Yakkov,1986-01-18
Gihr,Udi,1986-01-12
Alencar,Yonghoan,1986-03-22
Cesareni,Marke,1986-12-12
Wossner,Mary,1986-05-18
Smailagic,Mohamadou,1986-10-31
Eiter,Godehard,1986-02-28
Gunderson,Ramalingam,1986-05-04
Karlin,Sashi,1986-03-31
Thisen,Jianhao,1986-05-08
Juneja,Shmuel,1986-06-22
Papastamatiou,Mana,1986-02-17
Willoner,Sajjad,1986-01-05
Kalloufi,Yongqiao,1986-04-09
Talmor,Adhemar,1986-05-25
Francisci,Lalit,1986-01-30
Narlikar,Hirochika,1986-08-06
Serra,Arto,1986-09-28
Zeilberger,Bluma,1986-07-13
Danley,Valeri,1986-03-20
Honglei,Kish,1986-06-20
Daescu,Berhard,1986-01-08
Zolotykh,Hyuncheol,1986-10-27
Mateescu,Jiafu,1986-02-02
Naumovich,Jagoda,1986-04-26
Lorho,Percy,1986-04-20
Simkin,Florina,1986-01-06
Skafidas,Mahmut,1986-03-16
Merey,Selwyn,1986-07-04
Zallocco,Munehiro,1986-10-23
Sooriamurthi,Pascal,1986-08-02
Pena,Baocai,1986-02-23
Passino,Masaru,1986-01-11
Gammage,Godehard,1986-02-14
Bergere,Hidde,1986-10-11
Karlin,Chuanti,1986-01-14
Sanella,Berni,1986-07-14
Danley,Theirry,1986-07-25
Peck,Sreenivas,1986-12-31
Gyorkos,Billur,1986-10-08
Borstler,Mahmut,1986-04-22
Biron,Subir,1986-06-06
Nitsche,Weiye,1986-04-20
Petersohn,Vishwani,1986-04-26
Kumaresan,Arno,1986-04-09
Markovitch,Munenori,1986-04-10
